RGIId,AAR_mean,AAR_steady,disequilibrium
RGI60-13.01136,0.622306422,0.566940785,1.097656825
RGI60-13.01138,0.695790869,0.621591265,1.11937041
RGI60-13.01143,0.484233538,0.428066779,1.131210273
RGI60-13.01144,0.600382568,0.609425504,0.985161539
RGI60-13.01145,0.420982825,0.429916695,0.979219534
RGI60-13.01148,0.293362179,0.35127599,0.835133022
RGI60-13.01149,0.341236967,0.546707532,0.624167305
RGI60-13.01150,0.444988252,0.390958853,1.138197149
RGI60-13.01151,0.672743282,0.539716444,1.246475422
RGI60-13.01154,0.653276835,0.54119848,1.207092885
RGI60-13.01155,0.68458555,0.724591486,0.944788289
RGI60-13.01156,0.796213989,0.778055992,1.023337649
RGI60-13.01157,0.196432014,0.429516724,0.457332632
RGI60-13.01158,0.973766464,0.893618487,1.089689257
RGI60-13.01161,0.895276515,0.921494078,0.971548854
RGI60-13.01163,0.727067827,0.739184565,0.983607967
RGI60-13.01166,0.825618904,0.723315491,1.141436779
RGI60-13.01175,0.560118725,0.57573458,0.972876642
RGI60-13.01176,0.364184803,0.260186567,1.399706402
RGI60-13.01177,0.82249303,0.364030755,2.259405334
RGI60-13.01178,0.256947237,0.433922708,0.592149782
RGI60-13.01179,0.552583583,0.603858612,0.915087691
RGI60-13.01181,0.938273892,0.943086688,0.994896762
RGI60-13.01182,0.244036779,0.465694475,0.524027645
RGI60-13.01184,0.268085315,0.323477808,0.828759525
RGI60-13.01186,0.611830687,0.59164513,1.034117675
RGI60-13.01187,0.709066502,0.604103639,1.173749761
RGI60-13.01189,0.347951637,0.265456164,1.310768721
RGI60-13.01190,0.564048543,0.32705217,1.724643938
RGI60-13.01200,0.707898143,0.759882947,0.931588406
RGI60-13.01204,0.438070319,0.482660801,0.907615282
