,RGIId,lat,lon,AAR_mean,AAR_steady,disequilibrium
7114,RGI60-14.15623,32.496395,77.241356,0.50875,0.6330490727892015,0.803650177952963
7217,RGI60-14.14311,32.758914,77.327972,0.52,0.5848188423584859,0.8891642374293528
10401,RGI60-15.03734,27.98108,86.77073,0.11800000000000002,0.3130357437902737,0.3769537579678349
10402,RGI60-13.10093,42.792511,76.86676,0.40750000000000003,0.5457654812635044,0.7466577018696652
10403,,-63.933331,-57.950001,0.7050000000000001,0.5532994844555539,1.2741743301888657
10404,,-63.883331,-58.049999,0.36,0.4049308176100629,0.8890407554671969
10422,RGI60-08.02643,60.066956,6.426511,,,
10423,RGI60-08.02966,60.085701,6.437988,,,
10459,RGI60-11.00593,46.977001,10.815,0.1806,0.3923224880023891,0.4603355798429281
10460,,47.125,12.34,0.38859999999999995,0.586565098587556,0.662501060727523
10472,,46.400002,9.96,0.3125,0.48092486521343625,0.6497896503257559
10473,,,,,,
10476,RGI60-14.16041,32.349998,77.519997,0.505,,
10496,RGI60-02.07780,52.66,-119.57,0.42000000000000004,,
10497,RGI60-02.04264,51.4292,-117.71,0.36500000000000005,,
10498,RGI60-02.02171,50.810001,-116.940002,0.4725,,
10499,RGI60-14.14383,33.9785,77.452103,0.53,0.716611667648792,0.7395916420659655
13057,RGI60-13.06653,42.31,78.85,0.352,0.48399447573852533,0.7272810282862929
13493,RGI60-13.14451,38.862824,73.003255,0.3398,0.5037188278774085,0.6745826862018707
17220,RGI60-14.11566,31.2847,78.393143,,,
18251,RGI60-15.02578,28.021,90.607002,0.0,,
18692,RGI60-15.07143,30.793392,79.041397,,0.4214705882352941,
21063,RGI60-13.15903,37.39711,72.827362,0.36766666666666664,,
24784,RGI60-07.01416,77.9038,14.3529,0.0,0.0,
26304,RGI60-08.02017,61.416096,6.542072,,,
26308,RGI60-08.01217,61.681412,7.668273,,,
26615,RGI60-16.00543,-16.274,-68.143898,0.6583749999999999,0.6759306912515506,0.9740273796133675
35232,RGI60-16.02444,-8.964594,-77.62677,0.635,0.5415940918600397,1.1724647841322806
35274,RGI60-16.02531,-8.8374,-77.600403,0.7005714285714285,0.7052799609874206,0.9933238817541336
93528,RGI60-02.12468,62.1117,-127.9991,0.09240000000000001,0.34728387342987016,0.26606475874457525
103390,RGI60-03.01753,78.802,-75.928,0.43,,
103392,RGI60-03.01755,78.83,-75.983,0.6,,
115761,RGI60-14.12677,34.281375,77.557274,0.61,,
115766,RGI60-14.12682,34.287544,77.588246,0.08333333333333333,,
121010,RGI60-14.19608,34.1791,75.3008,0.5496666666666666,0.7557774884689779,0.7272863707281864
165854,RGI60-13.22154,42.1245,71.0066,0.6375000000000001,0.6703915557389207,0.9509367988642595
166938,,,,,,
167234,,,,,,
216926,RGI60-19.01943,-62.099563,-58.483139,0.34,,
216934,,78.828786,-76.225143,0.42,,
216935,,78.82119,-76.182682,0.52,,
216936,,78.825305,-76.078162,0.575,,
216937,,78.814855,-75.725406,0.445,,
216938,,78.814539,-75.61762,0.475,,
216939,,78.832666,-75.33511,0.365,,
216954,,,,,,
216955,,,,,,
