RGIId,calving_k,calving_k_nmad,calving_thick,calving_flux_Gta,fa_gta_obs,fa_gta_obs_unc,fa_gta_max,calving_flux_Gta_bndlow,calving_flux_Gta_bndhigh,no_errors,oggm_dynamics,mb_clim_gta,mb_total_gta,mb_clim_mwea,mb_total_mwea,area_km2,mb_total_gta_obs,mb_clim_gta_obs,mb_total_mwea_obs,mb_clim_mwea_obs,calving_flux_Gta_rnd1,calving_k_rnd1,O1Region
RGI60-05.07172,0.17500000000000002,0.07105,261.56348716104003,0.0014060311252859544,,0.0,0.0,4.725359212900213e-07,0.0011504500267082596,1.0,0.0,0.0002612120304699841,-0.0011448190948159702,0.3945801064501271,-1.729333980084547,0.662,0.0,-0.00016059730711580212,-0.2425941195102751,-0.2425941195102751,0.0,0.0,0.0
RGI60-05.07178,0.17500000000000002,0.07105,75.80126411176579,9.00412109554252e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0018426715643656696,-0.0018516756854612122,-0.1740668396340138,-0.17491740841311285,10.585999999999999,0.0,-0.001845372800694332,-0.1743220102677435,-0.1743220102677435,0.0,0.0,0.0
RGI60-05.07187,0.17500000000000002,0.07105,26.859141980656542,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0004137514733525488,-0.0004137514733525488,-0.2875270836362396,-0.2875270836362396,1.439,0.0,-0.0004137514733525488,-0.2875270836362396,-0.2875270836362396,0.0,0.0,0.0
RGI60-05.07194,0.17500000000000002,0.07105,94.65963551029128,9.417166003593308e-05,,0.0,0.0,0.0,0.0,1.0,1.0,1.866592085377325e-06,-9.230506795055576e-05,0.0025960946945442626,-0.12837978852650314,0.7190000000000001,0.0,-2.6384905925402596e-05,-0.03669667027176995,-0.03669667027176995,0.0,0.0,0.0
RGI60-05.07201,0.17500000000000002,0.07105,83.51457478165716,0.0002703793587897406,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0001642597321262606,-0.0004346390909160012,-0.14135949408456158,-0.37404396808605955,1.162,0.0,-0.0001642597321262606,-0.14135949408456158,-0.14135949408456158,0.0,0.0,0.0
RGI60-05.07238,0.17500000000000002,0.07105,86.1183090000129,9.333017253530366e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-1.3086882768222814e-05,-0.00010641705530352647,-0.029408725321849023,-0.2391394501202842,0.445,0.0,-1.3086882768222814e-05,-0.029408725321849023,-0.029408725321849023,0.0,0.0,0.0
RGI60-05.07488,0.17500000000000002,0.07105,58.752847544051164,2.5954793251198153e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0019964053005557063,-0.0020223600938069045,-0.4365635907622362,-0.4422392507778055,4.573,0.0,-0.0020041917385310655,-0.438266288766907,-0.438266288766907,0.0,0.0,0.0
RGI60-05.07489,0.17500000000000002,0.07105,206.92342414300703,0.0015669741151706944,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00032199213495365616,-0.0018889662501243507,-0.15995635119406662,-0.9383836314577003,2.013,0.0,-0.0007920843695048643,-0.3934845352731567,-0.3934845352731567,0.0,0.0,0.0
RGI60-05.07492,0.17500000000000002,0.07105,64.83757660201658,8.128076559433862e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00044414412297705144,-0.0004522721995364853,-0.4104844020120623,-0.4179964875568256,1.082,0.0,-0.00044658254594488153,-0.4127380276754913,-0.4127380276754913,0.0,0.0,0.0
RGI60-05.07493,0.17500000000000002,0.07105,209.1055427189547,0.015087930724560631,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0034194419903330634,-0.018507372714893694,-0.3503885634115241,-1.8964415119268054,9.759,0.0,-0.007945821207701253,-0.8142044479661085,-0.8142044479661085,0.0,0.0,0.0
RGI60-05.07539,0.17500000000000002,0.07105,66.69283077148259,3.4798094995561597e-06,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0013753423126427356,-0.0013788221221422918,-0.584505870226407,-0.5859847522916668,2.353,0.0,-0.0013763862554926024,-0.5849495348459849,-0.5849495348459849,0.0,0.0,0.0
RGI60-05.07540,0.17500000000000002,0.07105,28.611966685528273,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0008431385938747619,-0.0008431385938747619,-0.4768883449517884,-0.4768883449517884,1.768,0.0,-0.0008431385938747619,-0.4768883449517884,-0.4768883449517884,0.0,0.0,0.0
RGI60-05.07566,0.17500000000000002,0.07105,60.39560644440044,6.814123166322083e-06,,0.0,0.0,0.0,0.0,1.0,0.0,1.2531691203862737e-05,5.7175680375406545e-06,0.06113020099445238,0.02789057579288124,0.205,0.0,1.0487454253966112e-05,0.051158313433981036,0.051158313433981036,0.0,0.0,0.0
RGI60-05.07572,0.17500000000000002,0.07105,170.9575368212891,0.0020330976841832055,,0.0,0.0,0.0,0.0,1.0,1.0,-0.001314823617007989,-0.0033479213011911946,-0.43364895020052413,-1.1041956798123993,3.032,0.0,-0.001924752922262951,-0.6348129690840867,-0.6348129690840867,0.0,0.0,0.0
RGI60-05.07636,0.17500000000000002,0.07105,82.96753159489123,7.962874316141146e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-5.154000662597109e-06,-8.478274382400856e-05,-0.04561062533271778,-0.750289768354058,0.113,0.0,-5.154000662597109e-06,-0.04561062533271778,-0.04561062533271778,0.0,0.0,0.0
RGI60-05.07637,0.17500000000000002,0.07105,97.05849183749262,0.00012829404582207483,,0.0,0.0,0.0,0.0,1.0,1.0,2.6921347740489722e-05,-0.00010137269808158511,0.15209800983327526,-0.5727271078055656,0.177,0.0,-1.156686600613273e-05,-0.06534952545837701,-0.06534952545837701,0.0,0.0,0.0
RGI60-05.07665,0.17500000000000002,0.07105,27.882892504214823,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.002430759175959428,-0.002430759175959428,-0.5563651123734099,-0.5563651123734099,4.369,0.0,-0.002430759175959428,-0.5563651123734099,-0.5563651123734099,0.0,0.0,0.0
RGI60-05.07683,0.17500000000000002,0.07105,81.6391857342253,7.441383605464246e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0016245596703599232,-0.0016989735064145656,-0.5115112312216382,-0.534941280357231,3.176,0.0,-0.0016468838211763158,-0.5185402459623161,-0.5185402459623161,0.0,0.0,0.0
RGI60-05.07795,0.17500000000000002,0.07105,83.91689937269241,7.508340725984477e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0039028486079993128,-0.003977932015259158,-0.7261113689301048,-0.7400803749319363,5.375,0.0,-0.0039253736301772665,-0.7303020707306542,-0.7303020707306542,0.0,0.0,0.0
RGI60-05.08018,0.17500000000000002,0.07105,116.40226566598861,4.3986626852871865e-05,,0.0,0.0,0.0,0.0,1.0,1.0,-0.00037721800471388886,-0.0004212046315667607,-0.17997042209632105,-0.20095640819024843,2.096,0.0,-0.00039041399276975046,-0.18626621792449927,-0.18626621792449927,0.0,0.0,0.0
RGI60-05.08110,0.17500000000000002,0.07105,147.33911563310238,0.0004027819292345397,,0.0,0.0,0.0,0.0,1.0,1.0,-0.006750098433506256,-0.007152880362740795,-0.38574195288337926,-0.4087593784068115,17.499000000000002,0.0,-0.006870933012276617,-0.3926471805404089,-0.3926471805404089,0.0,0.0,0.0
RGI60-05.08129,0.17500000000000002,0.07105,252.71058914452578,0.005101938967687958,,0.0,0.0,0.0,0.0,1.0,1.0,-0.008280516063398403,-0.01338245503108636,-0.5632620953267399,-0.9103091647565719,14.700999999999999,0.0,-0.009639398235443712,-0.6556967713382568,-0.6556967713382568,0.0,0.0,0.0
RGI60-05.09426,0.17500000000000002,0.07105,32.475038774453395,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0020368464027037624,-0.0020368464027037624,-0.1442525780951673,-0.1442525780951673,14.12,0.0,-0.0020368464027037624,-0.1442525780951673,-0.1442525780951673,0.0,0.0,0.0
RGI60-05.09639,0.17500000000000002,0.07105,96.73703548893987,0.00033553489247251203,,0.0,0.0,0.0,0.0,1.0,1.0,-0.0008346542293419708,-0.0011701891218144828,-0.5203579983428746,-0.7295443402833435,1.604,0.0,-0.0009353146970837245,-0.5831139009250152,-0.5831139009250152,0.0,0.0,0.0
